Type,Date,Open,High,Low,Close,Adj Close,Volume
BTC,3/2/2017,1224.680054,1262.130005,1215.619995,1251.01001,1251.01001,368275008
BTC,3/3/2017,1250.709961,1280.310059,1250.709961,1274.98999,1274.98999,315739008
BTC,3/4/2017,1277.430054,1279.400024,1230.51001,1255.150024,1255.150024,183270000
BTC,3/5/2017,1254.290039,1267.290039,1238.060059,1267.119995,1267.119995,134127000
BTC,3/6/2017,1267.469971,1276,1264.599976,1272.829956,1272.829956,153656992
BTC,3/7/2017,1273.209961,1275.550049,1204.800049,1223.540039,1223.540039,291256000
BTC,3/8/2017,1223.22998,1232.160034,1148.079956,1150,1150,332603008
BTC,3/9/2017,1150.349976,1197.459961,1141.22998,1188.48999,1188.48999,212283008
BTC,3/10/2017,1189.359985,1270.469971,1077.25,1116.719971,1116.719971,563795968
BTC,3/11/2017,1116.319946,1193.829956,1116.319946,1175.829956,1175.829956,283320000
BTC,3/12/2017,1176.619995,1226.97998,1175.359985,1221.380005,1221.380005,227176000
BTC,3/13/2017,1221.780029,1237.369995,1217.030029,1231.920044,1231.920044,380276992
BTC,3/14/2017,1232.160034,1244.810059,1220.719971,1240,1240,245306000
BTC,3/15/2017,1240.160034,1251.609985,1239.75,1249.609985,1249.609985,297804992
BTC,3/16/2017,1251.329956,1257.97998,1152.439941,1187.810059,1187.810059,638568000
BTC,3/17/2017,1180.160034,1180.160034,1099.569946,1100.22998,1100.22998,706598976
BTC,3/18/2017,1099.689941,1114.069946,957.655029,973.817993,973.817993,621302016
BTC,3/19/2017,976.72998,1069.910034,976.72998,1036.73999,1036.73999,406648000
BTC,3/20/2017,1037.23999,1063.030029,1036.680054,1054.22998,1054.22998,286529984
BTC,3/21/2017,1055.359985,1122.430054,1055.359985,1120.540039,1120.540039,337391008
BTC,3/22/2017,1120.650024,1120.650024,1014.210022,1049.140015,1049.140015,380840992
BTC,3/23/2017,1050.050049,1058.01001,1028.930054,1038.589966,1038.589966,248540000
BTC,3/24/2017,1038.449951,1040.469971,934.357971,937.52002,937.52002,491038016
BTC,3/25/2017,936.539978,975.760986,903.713013,972.778992,972.778992,435803008
BTC,3/26/2017,974.015015,1007.960022,954.185974,966.724976,966.724976,303668000
BTC,3/27/2017,972.054993,1046.400024,971.984009,1045.77002,1045.77002,372535008
BTC,3/28/2017,1044.579956,1064.650024,1027.72998,1047.150024,1047.150024,326332000
BTC,3/29/2017,1046.079956,1055.130005,1015.880005,1039.969971,1039.969971,298457984
